STA_SEQ,WaterbodyName,Description,ylat,xlong,munName,subBasin,adbSegID,stationsCommentTxt,lastUpdateDate
14911,Bride Brook,in marsh,41.3051,-72.2422,EAST LYME,2206,CT2206-00_01,"Initial Site Number=5 or alias of =//site comments:series of stations where bacteria, field observation, and bird species collected by canoes.",12/2/2011
14912,Bride Brook,in marsh,41.3054,-72.242,EAST LYME,2206,CT2206-00_01,"Initial Site Number=6 or alias of =//site comments:series of stations where bacteria, field observation, and bird species collected by canoes.",12/2/2011
14913,Bride Brook,in marsh,41.306,-72.243,EAST LYME,2206,CT2206-00_01,"Initial Site Number=7 or alias of =//site comments:series of stations where bacteria, field observation, and bird species collected by canoes.",12/2/2011
14914,Bride Brook,in marsh,41.307,-72.2445,EAST LYME,2206,CT2206-00_01,"Initial Site Number=8 or alias of =//site comments:series of stations where bacteria, field observation, and bird species collected by canoes.",12/2/2011
14915,Bride Brook,in Marsh,41.308,-72.2439,EAST LYME,2206,CT2206-00_01,"Initial Site Number=9 or alias of =//site comments:series of stations where bacteria, field observation, and bird species collected by canoes.",12/2/2011
14916,Bride Brook,in marsh,41.3092,-72.2446,EAST LYME,2206,CT2206-00_01,"Initial Site Number=10 or alias of =//site comments:series of stations where bacteria, field observation, and bird species collected by canoes.",12/2/2011
14917,Bride Brook,in marsh,41.3097,-72.2448,EAST LYME,2206,CT2206-00_01,"Initial Site Number=11 or alias of =//site comments:series of stations where bacteria, field observation, and bird species collected by canoes.",12/2/2011
14918,Bride Brook,in marsh,41.3126,-72.245,EAST LYME,2206,CT2206-00_01,"Initial Site Number=12 or alias of =//site comments:series of stations where bacteria, field observation, and bird species collected by canoes.",12/2/2011
14919,Bride Brook,in marsh,41.3135,-72.2445,EAST LYME,2206,CT2206-00_01,"Initial Site Number=13 or alias of =//site comments:series of stations where bacteria, field observation, and bird species collected by canoes.",12/2/2011
14920,Bride Brook,in marsh,41.3147,-72.2449,EAST LYME,2206,CT2206-00_01,"Initial Site Number=14 or alias of =//site comments:series of stations where bacteria, field observation, and bird species collected by canoes.",12/2/2011
14921,Bride Brook,upper end DS freshwater start,41.3037,-72.2435,EAST LYME,2206,CT2206-00_01,"Initial Site Number=15 or alias of =//site comments:series of stations where bacteria, field observation, and bird species collected by canoes.",12/2/2011
14922,Bride Brook,downstream small channel on east bank ds 156,41.3164,-72.2437,EAST LYME,2206,CT2206-00_01,"Initial Site Number=16 or alias of =//site comments:series of stations where bacteria, field observation, and bird species collected by canoes.",12/2/2011
14923,Naugatuck River,upstream Reynolds Bridge adjacent to on RTE 8 on ramp,41.6596,-73.0779,THOMASTON,6900,CT6900-00_06,Initial Site Number=NR14 or alias of =//site comments:site for benthos only,3/12/2010
14924,Speciality Minerals,at discharge location-lower road settling pool,42.0158,-73.3161,NORTH CANAAN,6100,INTO_CT****,Initial Site Number=CT 0003981-001 or alias of =SP-1//site comments:Quarry Pumpout to Blackberry River,3/12/2010
14925,Speciality Minerals,at discharge,42.0256,-73.3211,NORTH CANAAN,6100,INTO_CT****,Initial Site Number=CT 0003981-003 or alias of =SP-2//site comments:cooling water discharge to NNT to Blackberry River,3/12/2010
14926,Speciality Minerals,at discharge,42.0161,-73.3161,NORTH CANAAN,6100,INTO_CT****,Initial Site Number=CT 0003981-104-2 or alias of =SP-3//site comments:From sump to NNT blackberry river,3/12/2010
14927,Naugatuck River - Storm Drain Scour Hole,behind 2148 South Main Street,41.5278,-73.0408,WATERBURY,6900,CT6900-00_03-INTO,Initial Site Number= or alias of =//site comments:scour hole at base of concrete pipe behind #2148 south main.  The area was discovered while attempting to locate a potential change in river conductivity-due to blown fish shocking fuse.,3/12/2010
14928,Quinebaug Fish Hatchery,at hatchery ponds,41.7318,-71.9234,PLAINFIELD,3700,INTO_CT****,Initial Site Number=QFH or alias of =//site comments:fish used for blanks for submittal with environmental samples,3/12/2010
14929,Quinebaug River,end of Cady Street,41.7898,-71.8898,KILLINGLY,3700,CT3700-00_04,Initial Site Number=QR- or alias of =//site comments:evaluate potential low DO from fisheries complaint due to Danielson WPCF.  Per Joe Nestico there was a malfunction with the plant in the same time period as the Fisheries initial complaint.,3/12/2010
14930,Naugatuck River,between south leonard street and waterbury WPCF,41.528,-73.0411,WATERBURY,6900,CT6900-00_03,Initial Site Number= or alias of =//site comments:sample collected from mid channel adjacent to scour hole site 832.,3/12/2010
14931,Heminway Pond,immediately upstream dam,41.605,-73.1128,WATERTOWN,6912,Ct6912-00_02,"Initial Site Number=HP-D or alias of =HP-5, HP-6, HP-7//site comments:site sampled as part of TMDL development for upper steele brook. Sediment and water sample",3/12/2010
14932,Heminway Pond,west side of island middle of island,41.6058,-73.1138,WATERTOWN,6912,CT6912-00_02,Initial Site Number=HP-W or alias of =HP-4//site comments:site sampled as part of TMDL development for upper steele brook. Sediment and water sample,3/12/2010
14933,Heminway Pond,east side of island near inlet,41.6073,-73.1139,WATERTOWN,6912,CT6912-00_02,Initial Site Number=HP-E or alias of =HP-1//site comments:site sampled as part of TMDL development for upper steele brook. Sediment and water sample,3/12/2010
14934,StanChem,at final effulent DSN 001-1,41.6221,-72.7143,BERLIN,4600,INTO_CT****,Initial Site Number=CT 0020346 001-1 or alias of =SC-1//site comments:401 Berlin Street.contact cooling water with steam condensate,3/12/2010
14935,Silver Lake Flocculation basin,at end of pipe DSN 001,41.5859,-72.7683,BERLIN,4601,UNKNOWN,Initial Site Number= or alias of =//site comments:quarterly permit evaluation,11/12/2015
14936,Coast Guard Academy,at end of pipe,41.3786,-72.0982,NEW LONDON,3000,INTO_CT****,Initial Site Number=CT 029998-001 or alias of =cg-1//site comments:intermittent discharge,3/12/2010
14937,Mad River,downstream Route 84 crossing,41.5511,-73.0351,WATERBURY,6914,CT6914-00_01,Initial Site Number=3 or alias of =//site comments:Site added as part of a 1-day benthic RBP I protocol assessment,3/12/2010
14938,Park River,at mouth (end of underground),41.7608,-72.6655,HARTFORD,4400,CT4400-00_01,"Initial Site Number= or alias of =//site comments:site boat electrofished for channel catfish on 10/9/02.  Approximately 50 were shocked, 6 collected for tissue analysis to go with the ones angled.",3/12/2010
14939,Neck River,at Warpus Road,41.2987,-72.6235,MADISON,5107,CT5107-00_01,Initial Site Number=259 or alias of =CT 57-04h2//site comments:Site sampled for macroinvertebrates only as a high gradient match to the low gradient sample for epa.  Periphyton done at green hill road site ct 57-04h and chem and fish done at ct 57-04.,10/5/2021
14940,"Allen Brook Pond,Unknown Pipe to",at end of pipe,41.4255,-72.8357,NORTH HAVEN,5207,CT5207-02-1-L1_01-IN,Initial Site Number=SW Pipe or alias of =//site comments:Stormwater pipe sw corner of Allen Brook Pond,3/12/2010
14941,Steele Brook,immediately below Heminway Pond Dam,41.6049,-73.1129,WATERTOWN,6912,CT6912-00_02,Initial Site Number=sb3 dam or alias of =//site comments:site added by TMDL program,3/12/2010
14942,Connecticut River,in Haddam,41.497,-72.53,HADDAM,4000,CT4000-00_01,Initial Site Number= or alias of =//site comments:fish collected for tissue analysis,3/12/2010
14943,Connecticut River,between Route 91 and Route 84 Overpass,41.7686,-72.6654,HARTFORD,4000,CT4000-00_03,Initial Site Number= or alias of =//site comments:angling for channel catfish,3/12/2010
14944,Connecticut River,upstream powerline crossing,41.5594,-72.5992,MIDDLETOWN,4000,CT4000-00_02,Initial Site Number= or alias of =//site comments:angling for catfish,3/12/2010
14945,Connecticut River,at Chapman's Pond Inlet,41.4372,-72.4488,EAST HADDAM,4000,CT4000-00_01,Initial Site Number= or alias of =//site comments:Electrofished for catfish,3/12/2010
14946,Quinebaug Hatchery Well,at well,41.7324,-71.9269,PLAINFIELD,3700,INTO_CT****,Initial Site Number=q.1 or alias of =//site comments:well sampled as part of hatchery sampling project,3/12/2010
14947,Quinebaug Hatchery Well,at well,41.7306,-71.9235,PLAINFIELD,3500,INTO_CT****,Initial Site Number=q.3 or alias of =//site comments:well sampled as part of hatchery sampling project,11/12/2015
14948,Quinebaug Hatchery Well,at well,41.7334,-71.9291,PLAINFIELD,3700,INTO_CT****,Initial Site Number=q.6 or alias of =//site comments:well sampled as part of hatchery sampling project,3/12/2010
14949,Quinebaug Hatchery Well,at well,41.7349,-71.9191,PLAINFIELD,3700,INTO_CT****,Initial Site Number=q.7 or alias of =//site comments:well sampled as part of hatchery sampling project,3/12/2010
14950,Quinebaug Hatchery Well,at well,41.7304,-71.9252,PLAINFIELD,3500,INTO_CT****,Initial Site Number=q.8 or alias of =//site comments:well sampled as part of hatchery sampling project,11/12/2015
14951,Quinebaug Hatchery Well,at well,41.7327,-71.9222,PLAINFIELD,3700,INTO_CT****,Initial Site Number=q.9 or alias of =//site comments:well sampled as part of hatchery sampling project,3/12/2010
14952,Quinebaug Hatchery Well,at well,41.7345,-71.9282,PLAINFIELD,3700,INTO_CT****,Initial Site Number=q.10 or alias of =//site comments:well sampled as part of hatchery sampling project,3/12/2010
14953,Quinebaug Hatchery Well,at well,41.7338,-71.9218,PLAINFIELD,3700,INTO_CT****,Initial Site Number=q.11 or alias of =//site comments:well sampled as part of hatchery sampling project,3/12/2010
14954,Quinebaug Hatchery Well,at well,41.7341,-71.9212,PLAINFIELD,3700,INTO_CT****,Initial Site Number=q.12 or alias of =//site comments:well sampled as part of hatchery sampling project,3/12/2010
14955,Quinebaug Hatchery Well,at well,41.7356,-71.9164,PLAINFIELD,3700,INTO_CT****,Initial Site Number=q.13 or alias of =//site comments:well sampled as part of hatchery sampling project,3/12/2010
14956,Quinebaug Hatchery Well,at well,41.7333,-71.9172,PLAINFIELD,3700,INTO_CT****,Initial Site Number=q.14 or alias of =//site comments:well sampled as part of hatchery sampling project,3/12/2010
14957,Quinebaug Hatchery Well,at well,41.7337,-71.9224,PLAINFIELD,3700,INTO_CT****,Initial Site Number=q.15 or alias of =//site comments:well sampled as part of hatchery sampling project,3/12/2010
14958,Quinebaug Hatchery Well,at well,41.7321,-71.9296,PLAINFIELD,3700,INTO_CT****,Initial Site Number=q.16 or alias of =//site comments:well sampled as part of hatchery sampling project,3/12/2010
14959,Quinebaug Hatchery Head Tank,at Head Tank,41.732,-71.9194,PLAINFIELD,3700,INTO_CT****,Initial Site Number=q.HT or alias of =//site comments:well sampled as part of hatchery sampling project,3/12/2010
14960,Quinebaug Hatchery Brood Tank,at Brood Tank,41.7311,-71.9203,PLAINFIELD,3500,INTO_CT****,Initial Site Number=q.BT or alias of =//site comments:well sampled as part of hatchery sampling project,11/12/2015
14961,Mad River,downstream 2 Large Pipes near end of River Street,41.5495,-73.0353,WATERBURY,6914,CT6914-00_01,Initial Site Number=2 or alias of =//site comments:Site added as part of a 1-day benthic RBP I protocol assessment,3/12/2010
14962,Mad River,adjacent outlet for Hamiton Park Pond,41.5415,-73.0203,WATERBURY,6914,CT6914-00_02,Initial Site Number=4 or alias of =//site comments:Site added as part of a 1-day benthic RBP I protocol assessment,3/12/2010
14963,Mad River,downstream Beaver Pond Brook Confluence,41.5401,-73.0098,WATERBURY,6914,CT6914-00_02,Initial Site Number=5 or alias of =//site comments:Site added as part of a 1-day benthic RBP I protocol assessment,3/12/2010
14964,East River,at Sullivan Road,41.3113,-72.6738,GUILFORD,5108,NOSEG,Initial Site Number=247 or alias of =//site comments:Site was sampled once on 10/21/97 and determined to be tidal no further sampling for macroinvertebrates. Very close to a prob mon bacteria site sampled in 2006-2007.,3/12/2010
14965,Mad River,downstream East Main Street,41.543,-73.0094,WATERBURY,6914,CT6914-00_03a,Initial Site Number=7 or alias of =//site comments:Site added as part of a 1-day benthic RBP I protocol assessment.  Also sampled as part of bacteria tmdl development.,3/12/2010
14966,Mad River,downstream Sharon Road,41.5691,-72.9995,WATERBURY,6914,CT6914-00_03a,Initial Site Number=9 or alias of =//site comments:Site added as part of a 1-day benthic RBP I protocol assessment,3/12/2010
14967,Old Tannery Brook,downstream Tosun Road Upper end industrial park,41.578,-72.9974,WOLCOTT,6914,NOSEG,Initial Site Number=10 or alias of =//site comments:Site added as part of a 1-day benthic RBP I protocol assessment,3/12/2010
14968,Lily Brook,at Mouth,41.5742,-72.9878,WOLCOTT,6914,NOSEG,Initial Site Number=11 or alias of =//site comments:Site added as part of a 1-day benthic RBP I protocol assessment; some may want to call it french brook but according to basin number in the gazeteer it is lily brook,11/17/2021
14969,Mad River,upstream confluence with Finch Brook,41.5744,-72.9884,WOLCOTT,6914,CT6914-00_03b,Initial Site Number=12 or alias of =//site comments:Site added as part of a 1-day benthic RBP I protocol assessment,3/12/2010
14970,Mad River,upstream second Rte 69 crossing,41.5978,-72.9853,WOLCOTT,6914,CT6914-00_04,Initial Site Number=13 or alias of =//site comments:Site added as part of a 1-day benthic RBP I protocol assessment,3/12/2010
14971,Mad River,downstream Mad River Road near Petterson Park,41.6074,-72.9858,WOLCOTT,6914,CT6914-00_04,Initial Site Number=14 or alias of =1661.02//site comments:Site added as part of a 1-day benthic RBP I protocol assessment/Search site added 2004,3/12/2010
14972,Riverton Salmon Hatchery,at well 1 discharge outlet,41.9459,-73.0156,BARKHAMSTED,4300,INTO_CT****,Initial Site Number=r-1 or alias of =//site comments:well sampled as part of hatchery sampling project.  Facility has 2 wells that feed into a head tank.  Well 1 is primary well,3/12/2010
14974,Burlington Hatchery aeration house,in aeration house number 4,41.7684,-72.9552,BURLINGTON,4311,Never,Initial Site Number=b-1 or alias of =//site comments:sampled as part of hatchery sampling project. Series of aeration houses from spring fed water supply.,3/12/2010
14975,Burlington Hatchery aeration house,in aeration house number 2,41.7664,-72.9559,BURLINGTON,4311,Never,Initial Site Number=b-2 or alias of =//site comments:sampled as part of hatchery sampling project. Series of aeration houses from spring fed water supply.,3/12/2010
14976,Coventa,at end of pipe,41.7502,-72.651,HARTFORD,4000,INTO_CT4000-00_03,Initial Site Number=CT0003875-intake or alias of =//site comments:Site sampled for permit renewal information,3/12/2010
14977,Coventa,at end of pipe,41.7496,-72.6516,HARTFORD,4000,INTO_CT4000-00_03,Initial Site Number=CT0003875-001A or alias of =//site comments:Site sampled for permit renewal information,3/12/2010
14978,Coventa,at end of pipe,41.7496,-72.6517,HARTFORD,4000,INTO_CT4000-00_03,Initial Site Number=CT0003875-001B or alias of =//site comments:Site sampled for permit renewal information,3/12/2010
14979,Rainbow Brook,Downstream Corner of Trap Rock and Park Road,41.9275,-72.6919,WINDSOR LOCKS,4300,CT4300-50_01,Initial Site Number=11018 or alias of =//site comments:Site added as part of Bradley Int airport DE-Icing TMDL.,3/12/2010
14980,Seymour Hollow Brook,US Route 20 West Branch,41.9179,-72.6799,WINDSOR LOCKS,4300,CT4300-51_01,Initial Site Number=11015 or alias of =//site comments:Site added as part of Bradley Int airport DE-Icing TMDL.,3/12/2010
14981,"Seymour Hollow Brook, tributary to",US route 20 East Branch,41.9174,-72.6779,WINDSOR LOCKS,4300,CT4300-51_01-INTO,Initial Site Number=11016 or alias of =//site comments:Site added as part of Bradley Int airport DE-Icing TMDL.  Box Turtle present,3/12/2010
14982,Naugatuck River,at old Anaconda brass dam,41.5721,-73.0534,WATERBURY,6900,CT6900-00_04,"Initial Site Number=11228 or alias of =//site comments:Site sampled to see how dam removal effected fish community.  Access to site from east bank, over tracks, down dam.",10/5/2021
14983,Salmon Brook,Upstream Main Street,41.7181,-72.6133,GLASTONBURY,4006,CT4006-00_01,Initial Site Number=12022 or alias of =//site comments:Site sampled by fisheries,10/5/2021
14984,Coppermine Brook,at Mouth to Frederick St,41.6746,-72.9068,BRISTOL,4314,CT4314-00_01,Initial Site Number=12303 or alias of =//site comments:Site for fish community,10/5/2021
14985,Amberbelle Company,at end of pipe,41.8678,-72.4435,VERNON,4500,INTO_CT****,Initial Site Number=DSN 005 or alias of =A-5//site comments:,3/12/2010
14986,Amberbelle Company,at end of pipe,41.868,-72.4436,VERNON,4500,INTO_CT****,Initial Site Number=DSN 011 or alias of =A-11//site comments:,3/12/2010
14988,Amberbelle Company,at end of pipe,41.8673,-72.4433,VERNON,4500,INTO_CT****,Initial Site Number=DSN 018 or alias of =//site comments:,3/12/2010
14989,Amberbelle Company,at end of pipe,41.8674,-72.4437,VERNON,4500,INTO_CT****,Initial Site Number=DSN 021 or alias of =a-21//site comments:,3/12/2010
14990,Paper Mill Pond (Hockanum River impoundment0,at Route 31 (Grove Street),41.8668,-72.4424,VERNON,4500,CT4500-00_08,"Initial Site Number=HR-3 or alias of =amberbelle intake, HR-3 rose//site comments:HOBO placed in spring 2006 for TMDL and Permit, site has been sampled extensively by rose, station id of 770 changed to 900 per mb 4/27/06",3/12/2010
14991,Hockanum River,Immediately below Amberbelle Company,41.8676,-72.4434,VERNON,4500,CT4500-00_07,"Initial Site Number=HR-4 or alias of =//site comments:sampled by Gatter-Evarts, access to site via amberbelle company sample collected at base of water fall upstream site of Anacoil intake pool",3/12/2010
14992,Quinebaug Hatchery,at well head tank,41.7314,-71.9196,PLAINFIELD,3500,INTO_CT****,Initial Site Number=HHHT or alias of =//site comments:site sampled as part of Hatchery General Permit,11/12/2015
14993,Aquarion Storm Drain,at outlet,41.2489,-73.2558,EASTON,7404,INTO_CT****,Initial Site Number=AQ-1 or alias of =//site comments:Site sampled by Erinie and Guy in response to a fish kill in the Mill River from Easton Reservoir to RTE 15.,3/12/2010
14994,Canoe Brook,at Mouth,41.2444,-73.2553,EASTON,7108,NOSEG,Initial Site Number=260 or alias of =//site comments:Site sampled by Erinie and Guy in response to a fish kill in the Mill River from Easton Reservoir to RTE 15.,3/12/2010
14995,Mill River,upstream Canoe Brook Confluence,41.2447,-73.2555,EASTON,7108,CT7108-00_02b,Initial Site Number=261 or alias of =//site comments:Site sampled in response to a chlorine spill at the Aquarion Water filtration plant,3/12/2010
14996,Freshwater Brook,behind last parking lot 9 Moody Road,42.0022,-72.5525,ENFIELD,4003,CT4003-00_04,Initial Site Number=CT 14-04 or alias of =//site comments:At Shrink Packaging Systems.  All low gradient with clay banks and bottom.,3/12/2010
14997,East Branch Salmon Brook,"mmediately above small pond at Valley Workship Center (Formerly Woodhaven Riding Facility), #160 rte 189",42.0135,-72.8435,GRANBY,4320,CT4320-00_01,Initial Site Number=CT 04-01 or alias of =//site comments:Permission to sample from Janice Renolds drive in to private residence park adjacent to gates and walk in to stream call 860-653-9297 ahead to confirm access,5/23/2014
14998,Still Brook,Upstream Whispering Pine Lane,42.0192,-72.3127,STAFFORD,3102,CT3102-03_01,Initial Site Number=CT 06-06 or alias of =//site comments:,3/12/2010
14999,North Running Brook,upstream at dirt farm road below child hill farm property,41.9645,-71.9657,WOODSTOCK,3708,CT3708-10_01,"Initial Site Number=CT 08-02 or alias of =//site comments:sample off dirt farm road at white house off child hill road, was subject to farm run-off impaired section fall 2003, most probabilistic information gathered here.; for dirt road access - inform Mike Saari at #256 Child Hill Rd, (860) 928-0257",11/17/2021
15000,Hollenbeck River,Adjacent to Rte 63 at SNET pole #856,41.9581,-73.3316,CANAAN,6200,CT6200-00_01,Initial Site Number=CT 10-02 or alias of =//site comments:Burbot Collected at lower 30 meters of segment during fish shocking on 7/8/03,9/30/2021
15001,Beach Brook,adjacent to bend Upstream 100 meters cabin off broad hill road,41.946,-72.8575,GRANBY,4319,CT4319-07_01,"Initial Site Number=CT 12-01 or alias of =//site comments:Site is located in McClean game refuge off broad hill road, drive up from route 20 past cabin and park at bend, stream is 90 to left.",10/5/2021
15002,Buckhorn Brook,at # 277 Abbe Road,41.9508,-72.539,ENFIELD,4205,CT4205-00_01,Initial Site Number=CT 14-01 or alias of =//site comments:Stream flows through residential area need homeowner permission if sampling away from road.  Site dropped due to no permission.  Single round of chemistry collected.,9/15/2010
15003,Wappoquia Brook,at old bridge off RTE 169 on Wappaquia Brook Farm,41.8751,-71.9658,POMFRET,3709,CT3709-00_01,Initial Site Number=CT 16-01 or alias of =15010//site comments:Take dirt road just past Wappaquia farm off rte 169.  Follow to old bridge.  Permission from farm owners,10/5/2021
15004,Housatonic River,SWIFTS BRIDGE - upstream old bridge abutments off River road Confluence Gunn Brook at Swifts Bridge,41.8072,-73.3906,CORNWALL,6000,CT6000-00_06,"Initial Site Number=CT 18-01 or alias of =127//site comments:Take Route 7 to Swifts Bridge Road to end.  Site was moved from downstream location to coincide with fisheries station, historic macroinvertebrate tissue site",9/30/2021
15005,Bantam River,Upstream Confluence with West Branch Bantam River,41.7588,-73.1841,LITCHFIELD,6705,CT6705-00_04,Initial Site Number=CT 20-02 or alias of =//site comments:Field Check occurred by walking behind # 104 Norfolk Road.  Fish sampling Access via Forman School off Norfolk Rd.  ; Stop at admission office to ask permission.  Can drive down to athletic fields and walk into site via a trail along the West Branch Bantam.,11/17/2021
15006,Hockanum River,behind #440 Rte 83 (Odessey School),41.8078,-72.5204,MANCHESTER,4500,CT4500-00_04a,Initial Site Number=CT 22-03 or alias of =//site comments:from inlet of Union Pond to Route 30 crossing.  Union Pond was drained during sampling made run much shallower.,3/12/2010
15007,Sawmill Brook,Upstream Meadowbrook Lane/Conantville Road,41.7398,-72.2017,MANSFIELD,3208,CT3208-00_02,Initial Site Number=CT 24-02 or alias of =//site comments:just past #159 Meadowbrook.  The channel has 3-4 braids in the sample segment. Lots of brook trout,10/5/2021
15008,Moosup River,adjacent to old RR grade 500 meters DS of RR bridge crossing,41.7172,-71.8422,STERLING,3500,CT3500-00_03,Initial Site Number=CT 26-04 or alias of =//site comments:Access to site from lower end off 14 using old RR grade.  Use BAZ key for gate and can drive up to site.  Option 2 is a long walk in.  ; Park at north end of tracks walk down to iron post on right 500 meters past the RR footbridge.,11/17/2021
15009,Weekeepeemee River,upstream Wood Creek Road,41.638646,-73.224907,BETHLEHEM,6804,CT6804-00_01,Initial Site Number=WEE-1 or alias of =//site comments:site sampled by mistake during prob mon field check (supposed to sample Wood Creek),10/5/2021
15010,Cabin Brook,Upstream Cabin Road,41.5603,-72.3349,COLCHESTER,4703,CT4703-01_01,"Initial Site Number=CT 32-01 or alias of =//site comments:Lower half of segment is low gradent with sand and emergent aquatic vegetation, upper half is cobble riffle habitat.",10/5/2021
15011,Crooked Brook,DS Rte 201,41.5999,-71.9067,GRISWOLD,3600,CT3600-05_01,"Initial Site Number=CT 34-02 or alias of =//site comments:access via gate on southwest side of road.  Park in field and walk into site.  Segement starts at an old weir. Swamp Darter were present.  Check lead levels in water, shooting club upstream.",3/12/2010
15012,Pomperaug River,At Access Rd. United Water Company behind Unitarian Church (Middle Quarter site),41.5218,-73.2061,WOODBURY,6800,CT6800-00_04,Initial Site Number=CT 36-02 or alias of =//site comments:WD fisheries has a key to the gate per United Water Company. Prior to 2017 referred to by volunteers as Main Street Ballet site but business has since moved; 2017 United Water merged with Eversource - name may change,10/5/2021
15013,Mill River,at first pull-off DS Tuttle Road,41.4259,-72.9056,HAMDEN,5302,CT5302-00_02,"Initial Site Number=CT 38-01 or alias of =624.01//site comments:stream survey site 2023, SEARCH Hamden Hall Country Day",10/5/2021
15014,Clark Creek,Upstream RTE 82 Culvert,41.4425,-72.4735,HADDAM,4000,CT4000-54_02,Initial Site Number=CT 40-01 or alias of =//site comments:sample above culvert; same as old station id 924 clark creek,11/17/2021
15015,Seth Williams Brook,Behind Apartment buildings 10-11,41.4399,-71.9741,LEDYARD,2103,CT2103-00_03,Initial Site Number=CT 42-03 or alias of =//site comments:site was moved upstream 300 meters due to extreme overgrown.  At lakeside condos #662 Shewville Road.  ; Take first right after entering the condo complex. Stream is behind buildings walk downstream slightly to starts to overgrow.,11/17/2021
15016,Titicus River,behind track Ridgefield High School,41.3304,-73.5292,RIDGEFIELD,8104,CT8104-00_01,"Initial Site Number=CT 44-01 or alias of =15***//site comments:Park at gate near Titicus River Crossing on George Washington Tpke ; Walk along Athletic fields to track, turn 90 degrees to the North and walk into river",12/27/2021
15017,Fivemile Brook,50 meters US mouth At old dam structure,41.3846,-73.1597,OXFORD,6000,CT6000-62_01a,Initial Site Number=CT 46-03 or alias of =152**//site comments:Park at mouth on Putker Road,10/5/2021
15018,Farm River,Upstream of dirt farm road Schantz farm # 1775 Middletown Ave,41.4063,-72.771,NORTH BRANFORD,5112,CT5112-00_03,Initial Site Number=CT 48-01 or alias of =//site comments:Stop in at house prior to sampling,10/5/2021
15019,Grassy Hill Brook,at first road crossing above Cove entering into Rodgers Lake and upstream Broad Swamp Brook Confluence,41.3653,-72.294,LYME,4020,NOSEG,Initial Site Number=CT 50-01 or alias of =//site comments:site sampled for prob mon field check but dropped for eightmile due to potential beaver activity.  Single grab sample collected.,3/12/2010
15020,Eightmile River,150 meters downstream Confluence with East branch eightmile R. (rte 156),41.43,-72.3392,LYME,4800,CT4800-00_01,"Initial Site Number=CT 50-02 or alias of =//site comments:probabilistic monitoring station year 2, top end of segment is 50 meters below confluence with east branch eightmile.",10/5/2021
15021,Heminway Pond,east side of island 3/4 of island towards dam,41.6058,-73.1127,WATERTOWN,6912,CT6912-00_02,Initial Site Number=HP-3 or alias of =//site comments:site sampled for sediment as part of TMDL,3/12/2010
15022,West Branch Saugatuck River,at end of Whiporwill Lane,41.2433,-73.4094,WESTON,7203,CT7203-00_02,Initial Site Number=CT 54-02 or alias of =R18//site comments:Take 57  to Whiporwill drive to end and park at pull off at stream crossing,3/12/2010
15023,Farm River,at end of dirt rd off Gloria Place,41.2895,-72.8641,EAST HAVEN,5112,CT5112-00_01,"Initial Site Number=CT 56-08 or alias of =//site comments: site may be too deep in some locations.  All deep run, small dam at lower end, sampling may be better just downstream at middle school 2018 NRSA Sampling location (NRS18_CT_10036)",10/5/2021
15024,Wood Creek,upstream Paddy Hollow Road,41.6387,-73.2362,BETHLEHEM,6804,CT6804-04_01,"Initial Site Number=CT 28-01 or alias of =//site comments:call 1 week prior to sampling, Joan Gilbert, 203-266-7709, email jgilbert110@earthlink.net",12/27/2021
15025,Pomperaug River,US Poverty Road (Ewald Park),41.4812,-73.2252,SOUTHBURY,6800,CT6800-00_03,"Initial Site Number=PG1 or alias of =CT 36-99//site comments:Site sampled for EDC RBV Site 2011, 2012",10/5/2021
15026,Quinnipiac River,upstream RTE 150,41.4917,-72.8183,WALLINGFORD,5200,CT5200-00_02,Initial Site Number=QR1 or alias of =//site comments:Site sampled for EDC,3/12/2010
15027,Galasso Material,at cooling/well,41.94,-72.7352,EAST GRANBY,4100,INTO_CT****,Initial Site Number=GL-1 or alias of =//site comments:,3/12/2010
15028,Farmington River,south end of bend lower collinsville impounment,41.8013,-72.9276,BURLINGTON,4300,CT4300-00_04,Initial Site Number=fr1 or alias of =//site comments:sampled for sediment on 2/20/97 for dieldrin,3/12/2010
15029,Farmington River,mid bend lower collinsville impounment,41.8028,-72.9277,BURLINGTON,4300,CT4300-00_04,Initial Site Number=fr2 or alias of =//site comments:sampled for sediment on 2/20/97 for dieldrin,3/12/2010
15030,Farmington River,40 feet upstream mid bend lower collinsville impounment,41.8031,-72.9277,BURLINGTON,4300,CT4300-00_04,Initial Site Number=fr3 or alias of =//site comments:sampled for sediment on 2/20/97 for dieldrin,3/12/2010
15031,Farmington River,50 feet off access road town park CT Sand and Stone Dredge Hole,41.7345,-72.8531,FARMINGTON,4300,CT4300-00_03,Initial Site Number=fr4 or alias of =//site comments:sampled for sediment on 2/20/97 for dieldrin,3/12/2010
15032,Farmington River,20 feet upstream of FR4 CT Sand and Stone Dredge Hole,41.7349,-72.8533,FARMINGTON,4300,CT4300-00_03,Initial Site Number=fr5 or alias of =//site comments:sampled for sediment on 2/20/97 for dieldrin,3/12/2010
15033,Farmington River,midchannel upstream of FR5 CT Sand and Stone Dredge Hole,41.7353,-72.8534,FARMINGTON,4300,CT4300-00_03,Initial Site Number=fr6 or alias of =//site comments:sampled for sediment on 2/20/97 for dieldrin,3/12/2010
